	course	0	1	2	3	4	5	6	7
0	AFR 105	Africana Studies - Africa Concentration	Africana Studies - General Africana Studies Concentration	Africana Studies - The Caribbean and Latin America Concentration	Africana Studies - United States Concentration	Education Studies			
64	AFR 201	Africana Studies - United States Concentration	International Relations - History	International Relations - Political Science					
27	AFR 202	Africana Studies - Africa Concentration							
5	AFR 204	Africana Studies - Africa Concentration	Africana Studies - General Africana Studies Concentration	Africana Studies - The Caribbean and Latin America Concentration	Africana Studies - United States Concentration				
1	AFR 206	Africana Studies - Africa Concentration	Africana Studies - General Africana Studies Concentration	Africana Studies - The Caribbean and Latin America Concentration	Africana Studies - United States Concentration	Education Studies	International Relations - History	International Relations - Political Science	
29	AFR 207	Africana Studies - Africa Concentration	Africana Studies - The Caribbean and Latin America Concentration	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after				
56	AFR 208	Africana Studies - United States Concentration							
70	AFR 209	American Studies	International Relations - Economics	International Relations - History	International Relations - Political Science				
71	AFR 210	American Studies	International Relations - Economics	International Relations - History	International Relations - Political Science				
30	AFR 211	Africana Studies - Africa Concentration	International Relations - History	International Relations - Political Science					
65	AFR 212	Africana Studies - United States Concentration	American Studies	International Relations - History	International Relations - Political Science	Women's and Gender Studies			
12	AFR 213	Africana Studies - Africa Concentration	Africana Studies - The Caribbean and Latin America Concentration	Africana Studies - United States Concentration					
13	AFR 215	Africana Studies - Africa Concentration	Africana Studies - The Caribbean and Latin America Concentration	Africana Studies - United States Concentration	International Relations - History	International Relations - Political Science			
49	AFR 216	Africana Studies - The Caribbean and Latin America Concentration							
57	AFR 217	Africana Studies - United States Concentration							
31	AFR 222	Africana Studies - Africa Concentration	Africana Studies - United States Concentration	American Studies	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after			
58	AFR 225	Africana Studies - United States Concentration	International Relations - History	International Relations - Political Science					
1114	AFR 226	Environmental Studies	Latin American Studies						
1019	AFR 227	Education Studies	International Relations - History	International Relations - Political Science	Women's and Gender Studies				
1485	AFR 228	International Relations - History	International Relations - Political Science	Women's and Gender Studies					
53	AFR 234	Africana Studies - The Caribbean and Latin America Concentration							
14	AFR 235	Africana Studies - Africa Concentration							
15	AFR 236	Africana Studies - Africa Concentration	International Relations - Economics	International Relations - History	International Relations - Political Science				
59	AFR 237	Africana Studies - United States Concentration							
8	AFR 238	Africana Studies - Africa Concentration							
9	AFR 239	Africana Studies - Africa Concentration	Africana Studies - United States Concentration	International Relations - Economics	International Relations - History	International Relations - Political Science			
73	AFR 242	American Studies	International Relations - History	International Relations - Political Science	Latin American Studies				
66	AFR 243	Africana Studies - United States Concentration	American Studies	International Relations - Economics	International Relations - History	International Relations - Political Science			
17	AFR 245	Africana Studies - Africa Concentration	Africana Studies - The Caribbean and Latin America Concentration	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies		
76	AFR 249	American Studies	Education Studies	International Relations - History	International Relations - Political Science	Women's and Gender Studies			
37	AFR 250	Africana Studies - Africa Concentration	Africana Studies - General Africana Studies Concentration	Africana Studies - The Caribbean and Latin America Concentration	Africana Studies - United States Concentration				
32	AFR 251	Africana Studies - Africa Concentration							
